nombre_municipio,poblacion_2020
Úmbita,7552
Ventaquemada,16093
Villa de Leyva,16973
Viracachá,2809
Zetaquira,4625
Aguadas,23048
Anserma,36691
Aranzazu,10556
Belalcázar,1065
Chinchiná,52267
Filadelfia,114
La Dorada,74006
La Merced,5882
Manizales,44616
Manzanares,17794
Marmato,9167
Marquetalia,1349
Marulanda,2544
Neira,21114
Norcasia,6128
Pácora,15324
Palestina,15681
Pensilvania,19755
Riosucio,51956
Risaralda,10568
Salamina,19393
Samaná,19967
San José,4916
Supía,29363
Victoria,10351
Villamaría,67429
Viterbo,12853
Albania,4396
Belén de los Andaquíes,11181
Cartagena del Chairá,31151
Curillo,7772
El Doncello,19284
El Paujíl,18464
Florencia,173011
La Montañita,14692
Milán,9952
Morelia,3747
Puerto Rico,26282
San José del Fragua,13099
San Vicente del Caguán,52593
Solano,11503
Solita,6346
Valparaíso,7048
Aguazul,3801
Chámeza,2634
Hato Corozal,12108
La Salina,1369
Maní,17463
Monterrey,18009
Nunchía,8713
Orocué,12652
Paz de Ariporo,37347
Pore,12059
Recetor,1796
Sabanalarga,3569
Sácama,2059
San Luis de Palenque,8346
Támara,6567
Tauramena,25173
Trinidad,13449
Villanueva,36184
Yopal,177688
Almaguer,18177
Argelia,26588
Balboa,21437
Bolívar,36994
Buenos Aires,32049
Cajibío,42833
Caldono,4177
Caloto,30216
Corinto,2544
El Tambo,53769
Florencia,5303
Guachené (← Caloto),2002
Guapi,27696
Inzá,29441
Jambaló,18568
La Sierra,10655
La Vega,24642
López de Micay,18932
Mercaderes,23097
Miranda,32082
Morales,40084
Padilla,9992
Páez,46742
Patía,37494
Piamonte,9259
Piendamó - Tunía,41837
Popayán,325477
Puerto Tejada,41793
Puracé,17569
Rosas,11539
San Sebastián,11062
Santander de Quilichao,113001
Santa Rosa,5383
Silvia,38063
Sotará Paispamba,1421
Suárez,32526
Sucre,9669
Timbío,36287
Timbiquí,26607
Toribío,36694
Totoró,25612
Villa Rica,21328
Aguachica,118652
Agustín Codazzi,64676
Astrea,21062
Becerril,23308
Bosconia,43326
Chimichagua,36229
Chiriguaná,29632
Curumaní,39667
El Copey,3165
El Paso,40858
Gamarra,15864
González,4568
La Gloria,18448
La Jagua de Ibirico,50946
La Paz,29603
Manaure Balcón del Cesar,10835
Pailitas,19705
Pelaya,22291
Pueblo Bello,29437
Río de Oro,17793
San Alberto,28453
San Diego,2047
San Martín,28769
Tamalameque,16189
Valledupar,532956
Acandí,14159
Alto Baudó,28293
Atrato,6208
Bagadó,11262
Bahía Solano,10279
Bajo Baudó,30472
Bojayá,12326
Carmen del Darién,19509
Cértegui,576
Condoto,12367
El Cantón del San Pablo,6286
El Carmen de Atrato,8212
El Litoral del San Juan,2289
Istmina,30806
Juradó,6841
Lloró,9913
Medio Atrato,1093
Medio Baudó,15683
Medio San Juan,10826
Nóvita,9105
Nuquí,16642
Quibdó (San Francisco de Quibdó),130825
Río Iró,5592
Río Quito,8448
Riosucio,55232
San José del Palmar,4961
Sipí,322
Tadó,17913
Unguía,12822
Unión Panamericana,6982
Buenavista,21451
Canalete,15437
Cereté,108409
Chimá,17905
Chinú,48694
Ciénaga de Oro,60521
Cotorra,19549
La Apartada,15218
Lorica (Santa Cruz de Lorica),115461
Los Córdobas,19314
Momil,20117
Moñitos,3058
Montelíbano,85885
Montería,505334
Planeta Rica,64776
Pueblo Nuevo,36486
Puerto Escondido,24364
Puerto Libertador,43573
Purísima de la Concepción,17587
Sahagún,110233
San Andrés de Sotavento,48042
San Antero,35035
San Bernardo del Viento,37075
San Carlos,27368
San José de Uré (← Montelíbano),13814
San Pelayo,52994
Tierralta,95177
Tuchín (← San Andrés de Sotavento),54958
Valencia,36343
Agua de Dios,12325
Albán,6879
Anapoima,16064
Anolaima,14577
Apulo,8747
Arbeláez,10959
Beltrán,1885
Bituima,2568
Bojacá,11092
Cabrera,5062
Cachipay,10703
Cajicá,92967
Caparrapí,1299
Cáqueza,17956
Carmen de Carupa,794
Chaguaní,4364
Chía,14957
Chipaque,10058
Choachí,11528
Chocontá,22278
Cogua,24434
Cota,36992
Cucunubá,8257
El Colegio,26176
El Peñón,4789
El Rosal,24768
Facatativá,155978
Fómeque,12803
Fosca,6038
Funza,105086
Fúquene,5211
Fusagasugá,154143
Gachalá,4405
Gachancipá,19376
Gachetá,8539
Gama,3214
Girardot,109792
Granada,7931
Guachetá,14241
Guaduas,33212
Guasca,16934
Guataquí,2772
Guatavita,6811
Guayabal de Síquima,4743
Guayabetal,6744
Gutiérrez,3567
Jerusalén,2315
Junín,6074
La Calera,32917
La Mesa,36129
La Palma,981
La Peña,6095
La Vega,18642
Lenguazaque,10794
Machetá,6278
Madrid,127138
Manta,3893
Medina,8211
Mosquera,150665
Nariño,2464
Nemocón,14532
Nilo,12028
Nimaima,3763
Nocaima,6562
Pacho,25803
Paime,4279
Pandi,5334
Paratebueno,9218
Pasca,9626
Puerto Salgar,16671
Pulí,3438
Quebradanegra,4927
Quetame,5315
Quipile,6536
Ricaurte,14367
San Antonio del Tequendama,12829
San Bernardo,8984
San Cayetano,4978
San Francisco,11844
San Juan de Rioseco,8537
Sasaima,11521
Sesquilé,12645
Sibaté,36658
Silvania,23489
Simijaca,14062
Soacha,753548
Sopó,28999
Subachoque,16743
Suesca,18741
Supatá,5543
Susa,7067
Sutatausa,6441
Tabio,24206
Tausa,8654
Tena,10531
Tenjo,24096
Tibacuy,4639
Tibirita,3285
Tocaima,16611
Tocancipá,45714
Topaipí,4284
Ubalá,7789
Ubaque,7067
Une,7371
Útica,4434
Venecia,4449
Vergara,7167
Vianí,4667
Villa de San Diego de Ubaté (Ubaté),46911
Villagómez,1826
Villapinzón,18433
Villeta,29128
Viotá,13878
Yacopí,12564
Zipacón,5022
Zipaquirá,146352
Barrancominas (incl Mapiripana),9054
Cacahual,903
Inírida,33683
La Guadalupe,296
Morichal,962
Pana Pana,2011
Puerto Colombia,1984
San Felipe,1743
Calamar,10069
